date,load_mw,renewable_total_mw,shortfall_mw,surplus_mw,battery_charge_mw,battery_discharge_mw,battery_soc_mwh,battery_soc_pct,unmet_demand_mw,net_shortfall_pct
2015-01-01,45346.54166666666,10137.726225490196,35208.81544117647,-35208.81544117647,0.0,2000.0,3000.0,30.0,33208.81544117647,73.23340263803979
2015-01-02,51941.16666666666,17813.743749999998,34127.42291666666,-34127.42291666666,0.0,2000.0,2000.0,20.0,32127.422916666663,61.85348727887643
2015-01-03,46564.75,13698.85625,32865.89375,-32865.89375,0.0,2000.0,2000.0,20.0,30865.893750000003,66.28596470506125
2015-01-04,45082.5,11771.016666666666,33311.48333333334,-33311.48333333334,0.0,2000.0,2000.0,20.0,31311.483333333337,69.45374221334961
2015-01-05,55246.66666666666,7034.054166666667,48212.6125,-48212.6125,0.0,2000.0,2000.0,20.0,46212.6125,83.64778418004106
2015-01-06,55496.5,4309.8375,51186.6625,-51186.6625,0.0,2000.0,2000.0,20.0,49186.6625,88.6302064094132
2015-01-07,60113.0,7090.2875,53022.7125,-53022.7125,0.0,2000.0,2000.0,20.0,51022.7125,84.87800059887213
2015-01-08,61432.29166666666,13075.497916666664,48356.79375,-48356.79375,0.0,2000.0,2000.0,20.0,46356.79375,75.45997795676135
2015-01-09,60808.708333333336,18901.858333333334,41906.850000000006,-41906.850000000006,0.0,2000.0,2000.0,20.0,39906.850000000006,65.6268667659306
2015-01-10,51784.04166666666,19065.889583333334,32718.15208333333,-32718.15208333333,0.0,2000.0,2000.0,20.0,30718.15208333333,59.319726878534816
2015-01-11,48456.5,18922.572916666664,29533.927083333336,-29533.927083333336,0.0,2000.0,2000.0,20.0,27533.927083333336,56.82194769191612
2015-01-12,61913.625,18727.02708333333,43186.597916666666,-43186.597916666666,0.0,2000.0,2000.0,20.0,41186.597916666666,66.52267237892575
2015-01-13,60950.16666666666,16287.377083333333,44662.78958333333,-44662.78958333333,0.0,2000.0,2000.0,20.0,42662.78958333333,69.99618199020512
2015-01-14,60946.458333333336,12360.679166666663,48585.779166666674,-48585.779166666674,0.0,2000.0,2000.0,20.0,46585.779166666674,76.4372211948329
2015-01-15,61635.208333333336,16695.01875,44940.18958333334,-44940.18958333334,0.0,2000.0,2000.0,20.0,42940.18958333334,69.66828010234953
2015-01-16,59642.25,7889.908333333334,51752.34166666667,-51752.34166666667,0.0,2000.0,2000.0,20.0,49752.34166666667,83.41794896514915
2015-01-17,51133.75,4596.4645833333325,46537.285416666666,-46537.285416666666,0.0,2000.0,2000.0,20.0,44537.285416666666,87.0995876826297
2015-01-18,47487.29166666666,4557.035416666666,42930.25625,-42930.25625,0.0,2000.0,2000.0,20.0,40930.25625,86.1920206721974
2015-01-19,60720.79166666666,1563.6104166666669,59157.18125,-59157.18125,0.0,2000.0,2000.0,20.0,57157.18125,94.13115290685029
2015-01-20,62052.208333333336,780.4479166666666,61271.76041666667,-61271.76041666667,0.0,2000.0,2000.0,20.0,59271.76041666667,95.51917974984775
2015-01-21,61946.125,2068.7916666666665,59877.333333333336,-59877.333333333336,0.0,2000.0,2000.0,20.0,57877.333333333336,93.43172528278942
2015-01-22,62371.04166666666,2145.1604166666666,60225.88125,-60225.88125,0.0,2000.0,2000.0,20.0,58225.88125,93.35403048289639
2015-01-23,61289.04166666666,1315.53125,59973.51041666666,-59973.51041666666,0.0,2000.0,2000.0,20.0,57973.51041666666,94.59033595592469
2015-01-24,53379.66666666666,4845.358333333333,48534.30833333333,-48534.30833333333,0.0,2000.0,2000.0,20.0,46534.30833333333,87.17609389343008
2015-01-25,48534.25,3571.5333333333333,44962.71666666667,-44962.71666666667,0.0,2000.0,2000.0,20.0,42962.71666666667,88.52040912688805
