date,load_mw,renewable_total_mw,shortfall_mw,surplus_mw,battery_charge_mw,battery_discharge_mw,battery_soc_mwh,battery_soc_pct,unmet_demand_mw,net_shortfall_pct
2015-01-01,45346.54166666666,18970.886519607844,26375.65514705882,-26375.65514705882,0.0,2000.0,3000.0,30.0,24375.65514705882,53.7541657007482
2015-01-02,51941.16666666666,33128.839583333334,18812.32708333333,-18812.32708333333,0.0,2000.0,2000.0,20.0,16812.32708333333,32.3680197467006
2015-01-03,46564.75,25483.810416666667,21080.939583333333,-21080.939583333333,0.0,2000.0,2000.0,20.0,19080.939583333333,40.97721899791867
2015-01-04,45082.5,21979.4,23103.1,-23103.1,0.0,2000.0,2000.0,20.0,21103.1,46.809959518660236
2015-01-05,55246.66666666666,13221.1125,42025.55416666667,-42025.55416666667,0.0,2000.0,2000.0,20.0,40025.55416666667,72.44881289972247
2015-01-06,55496.5,8199.745833333334,47296.754166666666,-47296.754166666666,0.0,2000.0,2000.0,20.0,45296.754166666666,81.62092053853246
2015-01-07,60113.0,13269.545833333335,46843.45416666666,-46843.45416666666,0.0,2000.0,2000.0,20.0,44843.45416666666,74.59859625483118
2015-01-08,61432.29166666666,24334.252083333333,37098.03958333333,-37098.03958333333,0.0,2000.0,2000.0,20.0,35098.03958333333,57.13288342518017
2015-01-09,60808.708333333336,35144.058333333334,25664.65,-25664.65,0.0,2000.0,2000.0,20.0,23664.65,38.916547725826
2015-01-10,51784.04166666666,35529.94375,16254.097916666666,-16254.097916666666,0.0,2000.0,2000.0,20.0,14254.097916666666,27.526043657272155
2015-01-11,48456.5,35259.84375,13196.65625,-13196.65625,0.0,2000.0,2000.0,20.0,11196.65625,23.106613663801554
2015-01-12,61913.625,34844.38958333333,27069.23541666667,-27069.23541666667,0.0,2000.0,2000.0,20.0,25069.23541666667,40.490660039154015
2015-01-13,60950.16666666666,30547.28958333333,30402.87708333333,-30402.87708333333,0.0,2000.0,2000.0,20.0,28402.87708333333,46.60016311139428
2015-01-14,60946.458333333336,23063.32083333333,37883.1375,-37883.1375,0.0,2000.0,2000.0,20.0,35883.1375,58.876493370205395
2015-01-15,61635.208333333336,31107.14791666667,30528.060416666667,-30528.060416666667,0.0,2000.0,2000.0,20.0,28528.060416666667,46.285331368366975
2015-01-16,59642.25,14788.508333333337,44853.74166666667,-44853.74166666667,0.0,2000.0,2000.0,20.0,42853.74166666667,71.85131625092392
2015-01-17,51133.75,8663.702083333334,42470.04791666666,-42470.04791666666,0.0,2000.0,2000.0,20.0,40470.04791666666,79.14547225006314
2015-01-18,47487.29166666666,8649.13125,38838.160416666666,-38838.160416666666,0.0,2000.0,2000.0,20.0,36838.160416666666,77.57477658496353
2015-01-19,60720.79166666666,3044.80625,57675.98541666666,-57675.98541666666,0.0,2000.0,2000.0,20.0,55675.98541666666,91.6917976338418
2015-01-20,62052.208333333336,1513.6354166666667,60538.57291666667,-60538.57291666667,0.0,2000.0,2000.0,20.0,58538.57291666667,94.33761422672978
2015-01-21,61946.125,3973.7083333333335,57972.41666666666,-57972.41666666666,0.0,2000.0,2000.0,20.0,55972.41666666666,90.35660691716659
2015-01-22,62371.04166666666,4056.00625,58315.035416666666,-58315.035416666666,0.0,2000.0,2000.0,20.0,56315.035416666666,90.29035576740007
2015-01-23,61289.04166666666,2484.885416666667,58804.15625,-58804.15625,0.0,2000.0,2000.0,20.0,56804.15625,92.682402441437
