date,load_mw,renewable_total_mw,shortfall_mw,surplus_mw,battery_charge_mw,battery_discharge_mw,battery_soc_mwh,battery_soc_pct,unmet_demand_mw,net_shortfall_pct
2015-01-01,45346.54166666666,18970.886519607844,26375.65514705882,-26375.65514705882,0.0,3000.0,7000.0,35.0,23375.65514705882,51.54892586713354
2015-01-02,51941.16666666666,33128.839583333334,18812.32708333333,-18812.32708333333,0.0,3000.0,4000.0,20.0,15812.32708333333,30.442764570170738
2015-01-03,46564.75,25483.810416666667,21080.939583333333,-21080.939583333333,0.0,3000.0,4000.0,20.0,18080.939583333333,38.82967176530172
2015-01-04,45082.5,21979.4,23103.1,-23103.1,0.0,3000.0,4000.0,20.0,20103.1,44.591803915044636
2015-01-05,55246.66666666666,13221.1125,42025.55416666667,-42025.55416666667,0.0,3000.0,4000.0,20.0,39025.55416666667,70.63874894412938
2015-01-06,55496.5,8199.745833333334,47296.754166666666,-47296.754166666666,0.0,3000.0,4000.0,20.0,44296.754166666666,79.81900510242387
2015-01-07,60113.0,13269.545833333335,46843.45416666666,-46843.45416666666,0.0,3000.0,4000.0,20.0,43843.45416666666,72.93506257659186
2015-01-08,61432.29166666666,24334.252083333333,37098.03958333333,-37098.03958333333,0.0,3000.0,4000.0,20.0,34098.03958333333,55.50507503179314
2015-01-09,60808.708333333336,35144.058333333334,25664.65,-25664.65,0.0,3000.0,4000.0,20.0,22664.65,37.27204642427174
2015-01-10,51784.04166666666,35529.94375,16254.097916666666,-16254.097916666666,0.0,3000.0,4000.0,20.0,13254.097916666666,25.59494680230477
2015-01-11,48456.5,35259.84375,13196.65625,-13196.65625,0.0,3000.0,4000.0,20.0,10196.65625,21.042907040335145
2015-01-12,61913.625,34844.38958333333,27069.23541666667,-27069.23541666667,0.0,3000.0,4000.0,20.0,24069.23541666667,38.87550667024693
2015-01-13,60950.16666666666,30547.28958333333,30402.87708333333,-30402.87708333333,0.0,3000.0,4000.0,20.0,27402.87708333333,44.95947850839894
2015-01-14,60946.458333333336,23063.32083333333,37883.1375,-37883.1375,0.0,3000.0,4000.0,20.0,34883.1375,57.23570893851502
2015-01-15,61635.208333333336,31107.14791666667,30528.060416666667,-30528.060416666667,0.0,3000.0,4000.0,20.0,27528.060416666667,44.66288207835754
2015-01-16,59642.25,14788.508333333337,44853.74166666667,-44853.74166666667,0.0,3000.0,4000.0,20.0,41853.74166666667,70.17465247650226
2015-01-17,51133.75,8663.702083333334,42470.04791666666,-42470.04791666666,0.0,3000.0,4000.0,20.0,39470.04791666666,77.18981673878146
2015-01-18,47487.29166666666,8649.13125,38838.160416666666,-38838.160416666666,0.0,3000.0,4000.0,20.0,35838.160416666666,75.46895002610349
2015-01-19,60720.79166666666,3044.80625,57675.98541666666,-57675.98541666666,0.0,3000.0,4000.0,20.0,54675.98541666666,90.0449152850582
2015-01-20,62052.208333333336,1513.6354166666667,60538.57291666667,-60538.57291666667,0.0,3000.0,4000.0,20.0,57538.57291666667,92.72606803545133
2015-01-21,61946.125,3973.7083333333335,57972.41666666666,-57972.41666666666,0.0,3000.0,4000.0,20.0,54972.41666666666,88.74230093757545
