date,load_mw,wind_generation_mw,solar_generation_mw,renewable_total_mw,shortfall_mw,irradiance_wm2,wind_speed_10m_ms,temperature_2m_c,surplus_mw,coverage_pct,scenario
2014-12-31,,,,,,390.09880376058777,4.743040287090268,12.77554508999664,,,worst
2015-01-01,45346.541666666664,9483.979166666666,653.7470588235294,10137.726225490196,35208.81544117647,612.6077166706084,5.029968867429051,14.00071838155943,-35208.81544117647,22.35611769473092,worst
2015-01-02,51941.166666666664,17603.658333333333,210.08541666666667,17813.743749999998,34127.42291666666,615.1628263258185,5.0797226575581425,12.666404943227656,-34127.42291666666,34.29600236806387,worst
2015-01-03,46564.75,13502.854166666666,196.00208333333336,13698.856249999999,32865.89375,634.8110151888512,5.068679002988914,14.002243444131315,-32865.89375,29.41894082970487,worst
2015-01-04,45082.5,11229.8375,541.1791666666667,11771.016666666666,33311.48333333334,629.1183740214974,5.311842234653484,13.840009438652167,-33311.48333333334,26.109946579419212,worst
2015-01-05,55246.666666666664,6315.75,718.3041666666667,7034.054166666667,48212.612499999996,642.9026487631878,5.368634841497034,13.989869346643873,-48212.612499999996,12.732087908772776,worst
2015-01-06,55496.5,3419.120833333333,890.7166666666667,4309.8375,51186.6625,638.0408403676614,5.333128292301185,13.855936362383153,-51186.6625,7.765962718369626,worst
2015-01-07,60113.0,6626.783333333334,463.5041666666667,7090.2875,53022.7125,657.4406478508862,5.310497549656035,14.172543978701883,-53022.7125,11.794932044649245,worst
2015-01-08,61432.291666666664,12842.608333333332,232.88958333333335,13075.497916666665,48356.79375,654.6005292631256,5.329267223033688,14.73651289409383,-48356.79375,21.284405256464602,worst
2015-01-09,60808.708333333336,18717.095833333333,184.76250000000002,18901.858333333334,41906.850000000006,670.2181168244191,5.2143174402256145,15.120047951841022,-41906.850000000006,31.08413063096089,worst
2015-01-10,51784.041666666664,18511.4125,554.4770833333333,19065.889583333334,32718.15208333333,655.8157006167677,5.487116008437874,15.642622745559756,-32718.15208333333,36.81807941153042,worst
2015-01-11,48456.5,18386.024999999998,536.5479166666668,18922.572916666664,29533.927083333336,660.4210489089777,5.068553855293488,15.412066822696874,-29533.927083333336,39.05063906115106,worst
2015-01-12,61913.625,18428.43333333333,298.59375,18727.02708333333,43186.597916666666,670.4026930702355,5.220222416018121,14.818535543117655,-43186.597916666666,30.247020883260074,worst
2015-01-13,60950.166666666664,14925.545833333332,1361.83125,16287.377083333331,44662.78958333333,681.7779857674817,5.497992471613138,15.811711399567868,-44662.78958333333,26.7224488038042,worst
2015-01-14,60946.458333333336,11870.308333333332,490.37083333333334,12360.679166666665,48585.779166666674,686.1604373767187,5.844288648247116,16.138333510841658,-48585.779166666674,20.281209941786333,worst
2015-01-15,61635.208333333336,16230.404166666667,464.6145833333333,16695.01875,44940.18958333334,673.0081195215433,6.025012189347623,15.328927253786402,-44940.18958333334,27.086821317631625,worst
2015-01-16,59642.25,7271.920833333334,617.9875000000001,7889.908333333334,51752.34166666667,693.3114337076339,6.24625736171605,16.363531614939287,-51752.34166666667,13.228723486007542,worst
2015-01-17,51133.75,4016.745833333333,579.71875,4596.4645833333325,46537.285416666666,692.6057505034088,6.08314831331633,15.323492888376778,-46537.285416666666,8.989101294806918,worst
2015-01-18,47487.291666666664,3710.4374999999995,846.5979166666666,4557.035416666666,42930.25625,703.3023466989322,5.82339772448151,16.63264490282426,-42930.25625,9.59632621008252,worst
2015-01-19,60720.791666666664,922.2499999999999,641.3604166666668,1563.6104166666667,59157.181249999994,688.1265142398711,6.1530226580252405,15.635906507424453,-59157.181249999994,2.5750823955825126,worst
2015-01-20,62052.208333333336,488.1916666666666,292.25625,780.4479166666666,61271.76041666667,707.0037146607225,5.973460872558813,16.841100470000157,-61271.76041666667,1.2577278675953647,worst
2015-01-21,61946.125,1469.7083333333333,599.0833333333334,2068.7916666666665,59877.333333333336,699.8513013707326,6.084395166088771,16.318645858429814,-59877.333333333336,3.339662758028313,worst
2015-01-22,62371.041666666664,1816.9374999999998,328.22291666666666,2145.1604166666666,60225.88125,693.1916360664418,6.301363271758117,17.01131460927687,-60225.88125,3.439353198766789,worst
2015-01-23,61289.041666666664,1125.5416666666667,189.98958333333334,1315.53125,59973.510416666664,703.9051673760226,6.551361224012495,17.17338196216959,-59973.510416666664,2.146437950775594,worst
2015-01-24,53379.666666666664,4579.020833333333,266.33750000000003,4845.358333333333,48534.308333333334,714.7374830578792,6.117230099385952,17.705994159102115,-48534.308333333334,9.07716109130193,worst
2015-01-25,48534.25,3258.179166666667,313.3541666666667,3571.5333333333333,44962.71666666667,727.847980069521,5.707548678631318,17.355369808234393,-44962.71666666667,7.35878958330114,worst
2015-01-26,61786.25,6754.7666666666655,286.975,7041.741666666666,54744.50833333333,746.1785224811009,7.303228967511468,17.526128059369686,-54744.50833333333,11.39693971824907,worst
2015-01-27,62015.625,7835.041666666666,475.9354166666667,8310.977083333333,53704.64791666667,710.099898556104,5.8824146664438866,17.650700240045353,-53704.64791666667,13.401424372218024,worst
2015-01-28,63308.958333333336,12882.887499999999,449.06875,13331.95625,49977.00208333334,736.2196139753406,6.298325824578295,17.834367621673007,-49977.00208333334,21.058562012353438,worst
2015-01-29,62851.791666666664,11678.479166666666,752.4833333333335,12430.9625,50420.82916666666,739.2543386982653,6.34987654576019,17.363197749373636,-50420.82916666666,19.778215020388572,worst
2015-01-30,61035.0,2612.3999999999996,364.6229166666667,2977.0229166666663,58057.97708333333,737.6027289581397,6.374975219401861,18.351875632340775,-58057.97708333333,4.8775668332377595,worst
2015-01-31,52042.458333333336,3906.991666666667,547.38125,4454.372916666667,47588.08541666667,738.4848208958624,6.428969767554089,17.72028971357066,-47588.08541666667,8.559113192033108,worst
2015-02-01,48098.125,3552.908333333333,668.4166666666666,4221.325,43876.8,749.2481864433879,6.752468276176503,18.39693137327431,-43876.8,8.77648556986369,worst
