scenario,battery_config,capacity_gwh,total_days,unmet_days,coverage_pct,avg_daily_charge_cycles,avg_soc_pct,max_soc_swing_pct,baseline_shortfall_gwh,residual_shortfall_gwh,shortfall_reduction_pct,capex_million_usd,annual_opex_million_usd,cost_per_mwh_stored
worst,Battery_5GWh,5.0,2099,2099,0.0,0.0,20.00476417341591,10.0,3886.7376388860575,3799.279305552724,2.250173319092336,0.75,0.01875,150.0
worst,Battery_10GWh,10.0,2099,2099,0.0,0.0,20.00476417341591,10.0,3886.7376388860575,3711.820972219391,4.50034663818466,1.5,0.0375,150.0
worst,Battery_20GWh,20.0,2099,2099,0.0,0.0,20.007146260123868,15.0,3886.7376388860575,3624.3626388860575,6.750519957276996,3.0,0.075,150.0
worst,Battery_50GWh,50.0,2099,2099,0.0,0.0,20.014292520247736,20.0,3886.7376388860575,3449.445972219391,11.250866595461655,7.5,0.1875,150.0
average,Battery_5GWh,5.0,2099,2099,0.0,0.0,20.00476417341591,10.0,3443.9919610849774,3356.533627751644,2.5394465005017337,0.75,0.01875,150.0
average,Battery_10GWh,10.0,2099,2099,0.0,0.0,20.00476417341591,10.0,3443.9919610849774,3269.075294418311,5.078893001003454,1.5,0.0375,150.0
average,Battery_20GWh,20.0,2099,2099,0.0,0.0,20.007146260123868,15.0,3443.9919610849774,3181.6169610849774,7.618339501505187,3.0,0.075,150.0
average,Battery_50GWh,50.0,2099,2099,0.0,0.0,20.014292520247736,20.0,3443.9919610849774,3006.700294418311,12.69723250250864,7.5,0.1875,150.0
best,Battery_5GWh,5.0,2099,2086,0.6193425440686041,0.00029997101794505305,20.030861651977133,17.4,3001.246283283897,2914.1513686137587,2.9019582683111533,0.75,0.01875,150.0
best,Battery_10GWh,10.0,2099,2083,0.7622677465459743,0.0002452689772907733,20.028913754367156,17.4,3001.246283283897,2827.302516704036,5.795717850570249,1.5,0.0375,150.0
best,Battery_20GWh,20.0,2099,2076,1.095759885659838,0.00017027622280451005,20.025438296907257,15.0,3001.246283283897,2740.639248561675,8.683293876071767,3.0,0.075,150.0
best,Battery_50GWh,50.0,2099,2065,1.6198189614101954,8.668234873749412e-05,20.024294834782435,20.0,3001.246283283897,2568.080564186675,14.43286149190201,7.5,0.1875,150.0
