date,load_mw,renewable_total_mw,shortfall_mw,surplus_mw,battery_charge_mw,battery_discharge_mw,battery_soc_mwh,battery_soc_pct,unmet_demand_mw,net_shortfall_pct
2015-01-01,45346.54166666666,14554.30637254902,30792.235294117643,-30792.235294117643,0.0,3000.0,7000.0,35.0,27792.235294117643,61.288544335779335
2015-01-02,51941.16666666666,25471.291666666664,26469.875,-26469.875,0.0,3000.0,4000.0,20.0,23469.875,45.18549833625866
2015-01-03,46564.75,19591.333333333336,26973.416666666664,-26973.416666666664,0.0,3000.0,4000.0,20.0,23973.416666666664,51.48404461887299
2015-01-04,45082.5,16875.208333333332,28207.291666666668,-28207.291666666668,0.0,3000.0,4000.0,20.0,25207.291666666668,55.91369526238933
2015-01-05,55246.66666666666,10127.583333333334,45119.08333333333,-45119.08333333333,0.0,3000.0,4000.0,20.0,42119.08333333333,76.23823458428865
2015-01-06,55496.5,6254.791666666666,49241.708333333336,-49241.708333333336,0.0,3000.0,4000.0,20.0,46241.708333333336,83.32364803786425
2015-01-07,60113.0,10179.916666666668,49933.08333333333,-49933.08333333333,0.0,3000.0,4000.0,20.0,46933.08333333333,78.07476474861232
2015-01-08,61432.29166666666,18704.875,42727.41666666666,-42727.41666666666,0.0,3000.0,4000.0,20.0,39727.41666666666,64.66862229758371
2015-01-09,60808.708333333336,27022.95833333333,33785.75,-33785.75,0.0,3000.0,4000.0,20.0,30785.75,50.62720594432404
2015-01-10,51784.04166666666,27297.916666666668,24486.125,-24486.125,0.0,3000.0,4000.0,20.0,21486.125,41.4917884129361
2015-01-11,48456.5,27091.20833333333,21365.291666666668,-21365.291666666668,0.0,3000.0,4000.0,20.0,18365.291666666668,37.90057405439243
2015-01-12,61913.625,26785.70833333333,35127.91666666667,-35127.91666666667,0.0,3000.0,4000.0,20.0,32127.91666666667,51.891512840132805
2015-01-13,60950.16666666666,23417.33333333333,37532.83333333333,-37532.83333333333,0.0,3000.0,4000.0,20.0,34532.83333333333,56.657487947804356
2015-01-14,60946.458333333336,17712.0,43234.458333333336,-43234.458333333336,0.0,3000.0,4000.0,20.0,40234.458333333336,66.01607285082876
2015-01-15,61635.208333333336,23901.083333333336,37734.125,-37734.125,0.0,3000.0,4000.0,20.0,34734.125,56.354356445348806
2015-01-16,59642.25,11339.208333333334,48303.04166666666,-48303.04166666666,0.0,3000.0,4000.0,20.0,45303.04166666666,75.95796883361486
2015-01-17,51133.75,6630.083333333333,44503.66666666666,-44503.66666666666,0.0,3000.0,4000.0,20.0,41503.66666666666,81.16687445506471
2015-01-18,47487.29166666666,6603.083333333333,40884.20833333333,-40884.20833333333,0.0,3000.0,4000.0,20.0,37884.20833333333,79.77757206972042
2015-01-19,60720.79166666666,2304.208333333333,58416.58333333333,-58416.58333333333,0.0,3000.0,4000.0,20.0,55416.58333333333,91.26459292156242
2015-01-20,62052.208333333336,1147.0416666666663,60905.16666666667,-60905.16666666667,0.0,3000.0,4000.0,20.0,57905.16666666667,93.31685079701032
2015-01-21,61946.125,3021.25,58924.875,-58924.875,0.0,3000.0,4000.0,20.0,55924.875,90.27986012038687
2015-01-22,62371.04166666666,3100.583333333333,59270.45833333333,-59270.45833333333,0.0,3000.0,4000.0,20.0,56270.45833333333,90.21888496597981
2015-01-23,61289.04166666666,1900.2083333333333,59388.83333333333,-59388.83333333333,0.0,3000.0,4000.0,20.0,56388.83333333333,92.00475615203099
2015-01-24,53379.66666666666,6951.208333333333,46428.45833333333,-46428.45833333333,0.0,3000.0,4000.0,20.0,43428.45833333333,81.35767989059505
2015-01-25,48534.25,5136.625,43397.625,-43397.625,0.0,3000.0,4000.0,20.0,40397.625,83.23529260264658
2015-01-26,61786.25,10091.166666666666,51695.083333333336,-51695.083333333336,0.0,3000.0,4000.0,20.0,48695.083333333336,78.81216829526527
2015-01-27,62015.625,11925.125,50090.5,-50090.5,0.0,3000.0,4000.0,20.0,47090.5,75.93328294280676
2015-01-28,63308.958333333336,19095.0,44213.958333333336,-44213.958333333336,0.0,3000.0,4000.0,20.0,41213.958333333336,65.0997258813425
2015-01-29,62851.79166666666,17841.208333333336,45010.58333333333,-45010.58333333333,0.0,3000.0,4000.0,20.0,42010.58333333333,66.84070926113881
2015-01-30,61035.0,4292.958333333333,56742.04166666666,-56742.04166666666,0.0,3000.0,4000.0,20.0,53742.04166666666,88.05118647770404
2015-01-31,52042.458333333336,6423.541666666667,45618.91666666667,-45618.91666666667,0.0,3000.0,4000.0,20.0,42618.91666666667,81.89258930408585
2015-02-01,48098.125,6103.916666666666,41994.208333333336,-41994.208333333336,0.0,3000.0,4000.0,20.0,38994.208333333336,81.07220049291595
2015-02-02,61793.29166666666,9069.625,52723.66666666666,-52723.66666666666,0.0,3000.0,4000.0,20.0,49723.66666666666,80.46774225087809
2015-02-03,62584.875,5195.041666666667,57389.833333333336,-57389.833333333336,0.0,3000.0,4000.0,20.0,54389.833333333336,86.90571537185835
2015-02-04,62909.125,3007.0,59902.125,-59902.125,0.0,3000.0,4000.0,20.0,56902.125,90.45130575254386
2015-02-05,62918.833333333336,6523.291666666667,56395.54166666667,-56395.54166666667,0.0,3000.0,4000.0,20.0,53395.54166666667,84.86416361820653
2015-02-06,62154.583333333336,8953.666666666668,53200.91666666667,-53200.91666666667,0.0,3000.0,4000.0,20.0,50200.91666666667,80.76784361571619
2015-02-07,53505.25,13793.875,39711.375,-39711.375,0.0,3000.0,4000.0,20.0,36711.375,68.61265950537565
2015-02-08,49401.333333333336,19077.125,30324.208333333336,-30324.208333333336,0.0,3000.0,4000.0,20.0,27324.208333333336,55.31066975250331
2015-02-09,62416.75,16564.75,45852.0,-45852.0,0.0,3000.0,4000.0,20.0,42852.0,68.65464799112418
2015-02-10,62023.583333333336,7080.375,54943.208333333336,-54943.208333333336,0.0,3000.0,4000.0,20.0,51943.208333333336,83.74751270686016
2015-02-11,61875.04166666666,2256.875,59618.16666666666,-59618.16666666666,0.0,3000.0,4000.0,20.0,56618.16666666666,91.50404612522146
2015-02-12,61604.208333333336,2710.875,58893.333333333336,-58893.333333333336,0.0,3000.0,4000.0,20.0,55893.333333333336,90.72973234377251
2015-02-13,60234.04166666666,6693.083333333333,53540.95833333333,-53540.95833333333,0.0,3000.0,4000.0,20.0,50540.95833333333,83.90763251954012
2015-02-14,51281.958333333336,7683.666666666667,43598.29166666667,-43598.29166666667,0.0,3000.0,4000.0,20.0,40598.29166666667,79.16681223984719
2015-02-15,47528.875,10991.208333333332,36537.66666666667,-36537.66666666667,0.0,3000.0,4000.0,20.0,33537.66666666667,70.56271932939012
2015-02-16,58873.708333333336,11058.375,47815.333333333336,-47815.333333333336,0.0,3000.0,4000.0,20.0,44815.333333333336,76.12113216921249
2015-02-17,61269.66666666666,4385.833333333333,56883.83333333333,-56883.83333333333,0.0,3000.0,4000.0,20.0,53883.83333333333,87.94536720182364
2015-02-18,61858.833333333336,7264.083333333334,54594.75,-54594.75,0.0,3000.0,4000.0,20.0,51594.75,83.40724714605567
2015-02-19,62277.458333333336,12749.75,49527.708333333336,-49527.708333333336,0.0,3000.0,4000.0,20.0,46527.708333333336,74.71035199333093
2015-02-20,60733.54166666666,17167.916666666668,43565.625,-43565.625,0.0,3000.0,4000.0,20.0,40565.625,66.79278679752059
2015-02-21,51859.54166666666,13352.166666666666,38507.375,-38507.375,0.0,3000.0,4000.0,20.0,35507.375,68.46835482702076
2015-02-22,47747.54166666666,8963.666666666666,38783.875,-38783.875,0.0,3000.0,4000.0,20.0,35783.875,74.94391072489772
2015-02-23,61701.083333333336,16408.791666666664,45292.29166666667,-45292.29166666667,0.0,3000.0,4000.0,20.0,42292.29166666667,68.54383972188496
2015-02-24,61904.458333333336,15348.541666666666,46555.91666666667,-46555.91666666667,0.0,3000.0,4000.0,20.0,43555.91666666667,70.35990272644607
